,Needs
1286,"As a first -year students, I want to get to know more people of my year well. I feel that I didn't get that chance well and I think many others experience the same thing. It would be nice if something was done in the 2nd year in September in terms of group formation, or at least not a different working group every quarter but keeping it as possible."
1287,"Many are alone, fewer people speak, much in the same room, little variation in my days."
1289,Little individual help and openness to students. There were only general tips for studying at home and no help about personal situations until you contacted a study advisor.
1290,On Campus Study Place
1293,I felt very lonely while studying at home. Especially being able to easily ask a fellow student or keeping a coffee break I missed a lot.
1294,no specific needs
1295,More free choice less rule from the university. Think for yourself instead of the proverbial herd. More real lectures.
1296,"See few friends and do not really have the opportunity to study together. That helps very much with motivation, because once it is gone it becomes very difficult."
1297,"I cannot follow online instructions because the balance between classroom and individual working is no longer good (I do mathematics).
 I have discovered that without the hold of lectures and instructions at set times, I can plan very badly when I work on which subject (I can't do two unfinished things in one day, but I cannot do the homework for a course in one day off)."
1298,a
1299,Very difficult to get in touch with professors who hardly respond to their mail. Less motivation to do things because everything is online.
1301,Nonshole
1302,It is very difficult to separate study from your private life. Especially during the coronac crisis where your private life is almost 0. I once worked over myself once and the feeling that I had during this time has come back a number of times because I went on studying for too long.
1303,"-
 
 Lack of contact with fellow students; - No contribution from the university for the Coronaproof making your home workplace or home studies; - It is annoying to get an uninspired mail from the Executive Board from time to time in which the 'resilience' of the students is praised (I have heard that term way too often now), while there is not really noticeable something for the students is done to meet them. It would have been nice if, for example, the rector Magnificus would organize some more activities, perhaps of a playful nature, to stay in contact with students. For the future: Prof. Fokkema visited Studenthuizen to talk to students and find out what is going on in their world, and read the newspaper together ('Read with the rector'). It would be very cool if Prof. van der Hagen would restore this to its former glory!"
1305,I Feel Like If Enough Students Are Vaccinated It Should Be Possible to Attend on Campus Lectures
1308,I Just Feel Really Burnt Out. I find it nigh on impossible to concentrate at this point. Let me get that summer vacation and I'll be back in tip top condition.
1309,no not really
1310,It is more difficult to bump into fellow students and staff and get ideas and feedback from almost a random person.
1312,"Low participation rate in online lessons -> frustrating.
 Measures, or relax thereof -> little support, poor compliance, high group pressure, unsafe feeling on campus."
1314,"I'm paying too much in tuition, and since the next academic year is going to be my thesis period, I will be consuming virtualy 0 university resources. Therefore, My Tuition Should be dramatically Discounted because I am Contributing No Expenses to the University."
1315,seclusion
1316,Feeling of real studying is missing
1317,"Because I did a year of dream team, I don't know anyone in this year. Because of Corona I can't really get to know people."
1320,"Working online at your computer for whole days is very tiring and in my case has sometimes led to a headache, but it is still a kind of mandatory because of the high workload, especially in the first year because the BSA has to be achieved here"
1323,At home education is all pleased from studying
1324,"Bad communication from the faculty. Discouraged the danger of Covid, on-campus keep pushing. Denying the seriousness of the situation, at the last minute still have to switch to online education and to be very poorly prepared for it."
1325,"No guidance, no contact with students / professors."
1326,"Online education gives little motivation, the distance between teachers and students has grown as well as the distance among themselves between students"
1328,Insulation of fellow students by not being in the vicinity of others since there was no reason to only go to rooms during Lockdown
1329,"A number of professors indicated that there is certainly more room to give lessons, but for some reason that does not happen. I wonder why not. Does the TU do not want that or do the professors themselves don't feel like making an effort?"
1331,"Only are the contact with fellow students, no motivation, too little exercise and not enough to come out"
1332,"Not really, I Liked the Questionaire, I Hope it Helps."
1333,"Feeling lonely, concentrating for a longer period (long hours and many days in a row) in a small room"
1337,I think if Tu Delft Really Needs to Support the Students More. It or Feels Like a Place Where Professors Mind Their Own Business and We Have To Constantly Bother Them to Get Our Work Done a. Also the High Tuition Fees For International Students Need to Be Re Assessed A
1338,no
1341,concentration problems. No place to study at the TU. Less inspiration by fellow students
1343,difficulty finding a graduation place; loneliness in the house; Changes in sport options means that you cannot build a rhythm; depression; difficulty taking care of myself
1344,"The intense dichotomy that you are either a 'Mak Schaap', or a 'Coronawhappie'. Don't agree with certain policy actions is no longer an option. It ensures tacit dealing with other people, because when you open your mouth you run the risk of being put out. It has ensured that you will be paralyzed.
 I also had a lot of problems with extra Corona measures that come up with authorities that make no sense anymore. For example: on student associations you also have to keep 1.5 meters away from your housemates/relationship because the municipality of Delft has given up this extra rule to associations. Student associations generally have very strict rules while on a terrace or on a field in Hout, Delftse Hout, you have much more freedom.
 
 One of the biggest problems I have experienced is that your entire life moves to an online environment, and this is mentally too tiring to keep track of. A lot of people in my area have stopped studying because it cannot be done this way. I myself have also decided to only follow small courses so that I have the rest of the week to recover. If the decision is made that studying remains hybrid for the time being, it means that I will have to stop my studies."
1346,"Lack of spontaneous social encounters is NR1, after which sport must remain possible in the gym"
1347,"I Truly Believe IDE HAS Low Quality Ánd Low Quantity Study Advisors, Speaking From Experience and Expressing Others' Opinions As Well"
1350,No
1352,no
1355,"Anxiety, stress, lack of motivation, concentration problems, fatigue"
1357,Reduced social contact.
1358,"Furthermore, I think it is bad that they constantly bring young people in the news in the news due to a few rotten apples. Furthermore, the definition of young people is used terribly broadly. 12-18 are young people according to the media, but as soon as someone of 29 does something wrong, it is also a young people. That is bothering me. Copied from the previous question"
1359,Working together in a project group is not easy from home
1361,I have none
1363,No
1365,"Few distracting incentives, making it difficult to study all day long"
1366,No
1367,"Getting contact with teachers can sometimes be very difficult. Furthermore, during my Bep it was sometimes difficult to arrange deliveries/make agreements with people at the TU. Furthermore, I don't really have trouble with the online lessons"
1368,No
1369,"Living alone, everything that takes place within the same walls, structure totally lost, despite videoetings the feeling of not really interacting, concentration problems"
1370,No social life
1371,"I am afraid that next year at tu will be on campus and certainty will appear too late, when finding accommodation will be tough."
1374,Nonshole
1375,Motivation problems because you are in the same place in your own room every day. Concentration problems due to a lot of distraction
1376,"You don't just come across people at the TU anymore. For every contact you have to actively agree and it is not feasible to do that anyone because there is too little time is or contact with some people is not so good. As a result, a lot of contact with fellow students falls away and you are just aware of a small group."
1377,"Through the home studying there was a poor relationship between study and private life. I also often could not concentrate well through the crowds at home. In addition, the structure disappeared. I hope fat everything will get normal again soon and I can just go back to the TU as it should be"
1378,This survey makes me feel heard and it shows that the tu is trying to hear input from its students. It gives me a bit of hope for the future
1380,nonshole
1381,"Motivation lacks because all subjects are alike, even the most interesting then becomes boring."
1382,- Much more tiring by zooming all day
1383,I am not happy with the way the architecture faculty has chosen studios for our final year
1384,"I no longer have a motivation to watch lectures. I still follow very little, only the courses you do together"
1385,Nonshole
1386,"Almost all of my social contact took place at the university, and Corona has all dropped and only realize how only I really am. I am not the best in social interaction and making new friends is not that easy. Not now but not for Corona. At the same time, I am not motivated enough to really make an effort. I also have trouble with my thesis. Case imposter syndrome. I feel that I am just bumping around, and I even get paid for it. I feel guilty and not good enough to get something worthy enough to publish"
1387,Interaction with the Thesis Supervisor
1388,"Feeling little connectedness because you only see people through a screen, having difficulty sitting at home all day, few people get to know in your first year because there is little allowed in the social field"
1389,"1st year this year have been able to make very little contact with each other, so they quickly feel all and you don't have the idea that you are doing the study together. In this way it is also more difficult to ask someone about things that you do not understand, so that a lot comes to us what we all have to sort out ourselves."
1390,Suffer from a lot of stress. And always the feeling that a guidance is a presentation
1391,Sitting in the same space all day makes you crazy
1392,"Very little opportunity to get to know fellow students personally
 Extra stress around exams because they have to be taken at home and each course has a different way and degree of proctoring
 Many friends seen very little and spoken by lockdowns and closed club society"
1393,"In the beginning I held my social contacts very much, because I lost someone in my nearby area to Corona and I didn't want to do this to someone else. Because of this I saw few people, at some point I decided that that was no longer tenable and I went to see a little more people. Especially since I had to do a few more courses that could actually be completely independent, I hardly had any contacts."
1395,Student Finance for Non-EU Students Who Face Troublebkls Financing Their Studies
1396,Keep motivation in it
1397,Bad lectures. Looking back from lectures that are not included properly. No guidance from the TU.
1399,"Keep school and private life separate, energy level"
1401,"The faculty needs to stop putting all deadlines at the same time and tell us 'Oh we know it's hard, but ...'. Simply Spread out the work load!"
1402,"Insomnia, study backlog, depression"
1403,I just don't know a specific problem
1404,Sometimes there was a lot of uncertainty for me as a first -year student about what should actually happen in a profession.
1405,Contact with fellow students and professors was not optimal
1407,Will Do
1408,My concentration level is very low and therefore I get a very high stress content
1409,"Little contact with master students, no improved help from a study supervisor, no physical home lectures, making some courses very difficult to follow"
1412,"I hardly follow any more courses and I am graduating. That's fine, so I have experienced few specific problems"
1414,More often a fixed neck/back.
1416,"Home insulation and lack of outdoor space in student houses was really a problem for me. I couldn't go anywhere during the Lockdown. I had my student house and that was it, a small common space and rooms during a lockdown is heavy."
1418,No separation between studying and just being at home.
1419,"Graduation is always a bit lonely and sometimes the motivation is hard to find, but during Corona where you live, eat, study and relaxed every day in the same room, it was extra difficult to stay motivated. ;)"
1420,Little connection with TU Delft. Little connection with people in Delft. More problems with concentration and less support for other students. Explanation is often more difficult because sketches over Zoom remain difficult.
1421,"Demotivated, little exercise, sitting all day, restless workplace."
1423,"Colleges at the TU please.
 Also make sure that courses that are online are well prepared and students give different options of studying, so for example not only videos but also blocks of text and vice versa"
1424,"There is a higher threshold by studying at home to approach teachers, where that had happened earlier if there were normally a study at the university"
1426,I would like the possibility to graduate at university and not at my computer
1427,Because of the coronacrisis we had to study at home and this did not work at all for me. I have always been someone who performs better at school than at home. Because of that home study I have not taken many courses
1428,no
1429,Arrangement of an on-campus Introduction Week for Students Admitted Duration the Academic Year 2020-21 would be appreciated.
1430,Little motivation. Bad study place. Less sports
1431,"Holding work rhythm, discipline with work and maintenance, balance between work and leisure, social contacts outside the Uni"
1432,A social life. That the elderly are not being pulled on people with a life for themselves. A place to study. PLZ PRZ PRZ
1433,"loneliness, concentration problems, little motivation"
1434,no
1435,"The lack of study place at the TU, the lack of variety in my days, the lack of people around me who are in the same boat (same subjects, teachers, assignments and problems)"
1436,"Money problems. Job is no longer there, I can't visit my parents in the weekends to live for free and stuff"
1437,Contact with the Projectgroep Online has become a bit stiffer after a longer period
1438,"I would love it if tu delft could help me find a good psychologist, I think it would help me with my well-being."
1440,Nothing That I Haven already Expressed
1441,"The problems I experience during my studies are always there, Corona or not."
1443,"Feeling alone, closed, have no things to attract and look forward to it"
1444,"Not enough support. Very strict while students do their best to adapt (for example, exams that have been declared invalid for the smallest reasons)"
1445,- online lessons not followed on time
1448,"A better workplace, of course at home, had been very nice."
1450,Digital guidance for a design trade does not work
1453,Communication to students feels deteriorating during the coronacrisis. I also sometimes get the feeling that our situation is not taken into account at all
1455,My biggest problem during this crisis was that it was difficult to make new friends
1457,no
1458,Social contact with fellow students of your own study -> Being able to put certain tasks and things that are expected from the subjects that you follow.
1460,"Poor study place, too long waiting time for practice assistant and student psychologist, little recognition of overstrain (RPF is much too complicated to request)"
1461,"Been very sick from Corona, so I was very tired. After that, arose psychic problems (depression)"
1462,"fatigue by many, and especially long, online lessons"
1464,"Studying at home is really terrible, and physically you really feel bad about it"
1465,More Social Activities would be nice
1466,"TU Delft Councilers Should Stop Right Quuiting When u Come There For Help And Advice What Steps To Take, As Far As I Know All My Friends That Go to Study Concellers Were Told To Quit. And some of them Graduating this year, so its not like they will be kapable, so Quuiting Recommememdate is Just Bad Approach. For some of the courses professors should take more care for the course not putting every thing on bag when they are some sometimes equally provide wrong answers and misguide students, this is difficult fast pace studying (book: Java in 2 semesters, 8 weeks), So Proper Structure of the Course and Relayable Help is crucial."
1467,Nothing
1468,Too little school contact
1470,A lot of stress and very little motivation. Feels like I have thrown away from time for a year
1471,no
1474,"I felt left behind the uni between Dec and April, the online lesson environment was Zero to Non. It was literally all out for yourself, here is a list of old lectures and you just do it"
1476,"Motivation, contact with teachers is less, getting up, rolling to bureso, sitting behind laptop, back to bed, repeat ..."
1477,"Not being able to brainstorm in groups, not being able to go to UIS but your work is always at home, more stress, not seeing how others are doing, less benchmarked whether you are doing well, tiring, tiring"
1479,"Loneliness, panic attacks, hopelessness, frustration"
1480,"Certain professors who think along far too little, slides that are not good enough to study later"
1481,The degree of self -discipline has fallen enormously with my motivation. A number of teachers can handle zoom or other products poorly.
1482,little motivation
1484,"I feel lonely, and not part of the life that takes place here in Delft"
1485,"Physical contact but that has been clear to everyone in this time, gwn nice n hugle giving each other standing in the pub, being able to travel to a warm place in a full plane with enthusiastic people, can travel freely"
1486,No
1487,Project groups are more difficult due to limited contact. Group members cannot make themselves heard for a long time
1488,"No physical home lectures, no access to a place that is set up to study"
1489,"Much isolated. You also learn a lot from your fellow students. Because you speak to it less often, your study presetations will also deteriorate."
1490,The comunication and you can be forgotten very quickly
1491,"More difficult to get off a professional with questions, mailing is always mixed than just"
1492,No
1493,"loneliness, boredom, stress, fear that I cannot see family, angry with enforcement and poor regulation,"
1494,"I have many subjects without exercises with answers, which means that you never know if you are doing well. Contact with students is really necessary to study a little relaxed. I also have the idea that professors ask more from me than the EC that stands for it. Finally, I have the idea that the courses do not take each other into account."
1495,thank you
1496,Too little understanding of teachers in terms of circumstances
1497,The use of fully online lens environments for the Master Applied Physics is not possible and has significantly reduced the level of the course and has dramatically reduced the knowledge gained.
1499,Build less good relationship with teams. Along with girlfriend (who lives in the same apartment) have online meetings
1500,Nothing More
1501,"I wanted to do an internship abroad, that was not possible. Monotony."
1502,"If there was the possibility, I often forgot that you could reserve a place on campus. The weeks also have hardly any structure and fly past which gives an unhappy feeling. Some teachers do not record their lessons 'because they would not really do that in real life' which can be particularly frustrating (overlapping subjects for example). It would be nice to be able to talk to a person about questions about previous lessons, but there is often no room for that in the online lessons. You can, however, ask the question of BS which often helps, but sometimes I would rather discuss with someone."
1504,"Take a little more psychologists, not only because there would be a wave of mental displeasure ... but also simply because this was all pushed away in the past and the recognition of the problem is only starting by dusk, an annual short conversation for Every student would be great, I think, if people say they have no issues, that's nice, but there are plenty of people with issues who have never allowed it."
1505,"I would like to thank tu delft for making sure duration thesis 'tryping times' we can still destroy our careers with a single exam. I Lost My Job, My Hobbies, My Family, and the Little Piece of Mental Health I Had Left, Great To Know I Can Lose More."
1506,Motivation problems
1509,Completely finished with all those screen hours
1511,"No motivation, poor contact and few people get to know"
1512,"Citizens who blame all students for all problems such as parties during Corona, while this is only a very small part, so that all students are then assessed extra strictly."
1513,"I think it is a shame that we are not allowed to use Discord for more courses, although that is one of the easiest programs for that kind of work"
1515,Not really
1516,I Wish I would have more personalized Guidance to plan My Future Studies/Career.
1519,After
1520,No physical education and decrease in motivation
1521,"Great lack of motivation and concentration. And every time there could be anything on the TU, that must be a very hassle again. I can't even start studying for an hour in the evening. I must necessarily make that and there are a specific (mostly awkward) time. With all due respect, but what nonsense is that?"
